Property Name,Amenities,Property Type,City,Country,Month,Price(in dollar),Rating,Number of Reviews,Rating Rank,Price Rank,Province State Region
"Condo in Cebu City, Philippines",Cozy City Condo at Horizons 101 [ W/ WIFI ].,Condo,Cebu City,Philippines,June,26.00,4.44,220.0,667,138,
"Condo in Cebu City, Philippines",Cozy Studio across Ayala Mall iT Park 1min walk,Condo,Cebu City,Philippines,July,26.00,4.78,235.0,542,138,
"Condo in George Town, Malaysia",Lovely 1 Bedroom Suite with Pool View,Condo,George Town,Malaysia,June,26.00,4.27,56.0,680,138,
"Condo in Cebu City, Philippines",Cozy City Condo at Horizons 101 [ W/ WIFI ].,Condo,Cebu City,Philippines,June,26.00,4.44,220.0,665,138,
"Room in Key West, Florida, US",1-Private room/bbq/patio. 2 full bed 1 couch bed.,Room,Key West,United States,July,258.00,4.83,40.0,470,139,Florida
"Treehouse in Balamban, Philippines",Treehouse De Valentine,Treehouse,Balamban,Philippines,June,255.00,4.91,147.0,268,140,
"Tiny home in Key Largo, Florida, US","Oceanfront Lookout Point w/two Kayaks,Beach & Dock",Tiny home,Key Largo,United States,August,254.00,4.86,90.0,391,141,Florida
"Cabin in Gold Bar, Washington, US",New lux cabin w/mount index view,Cabin,Gold Bar,United States,June,253.00,4.86,7.0,397,142,Washington
"Place to stay in Penebel, Indonesia",Le Aiken Xperience - Unique Bamboo House,Place to stay,Penebel,Indonesia,August,252.00,4.69,94.0,606,143,
"Villa in Phu Quoc, Vietnam",H&B Villas Phu Quoc - 3 Bedrooms,Villa,Phu Quoc,Vietnam,June,252.00,5.0,20.0,26,143,
"Place to stay in Scottish Borders, UK","16th Century Scottish Borders Tower, by Earlston",Place to stay,Scottish Borders,United Kingdom,July,252.00,4.96,464.0,129,143,
"Place to stay in Scottish Borders, UK","16th Century Scottish Borders Tower, by Earlston",Place to stay,Scottish Borders,United Kingdom,July,252.00,4.96,464.0,128,143,
"Tiny home in Malibu, California, US","Malibu Serene Guest House, Mins to Beach & Hike",Tiny home,Malibu,United States,June,252.00,4.77,298.0,555,143,California
"Cabin in Amadeo, Philippines",Cozy Loft Cabins Near Tagaytay,Cabin,Amadeo,Philippines,August,252.00,4.88,43.0,348,143,
"Villa in Kecamatan Kuta Utara, Indonesia",Love Nest for honeymooner at best location,Villa,Kecamatan Kuta Utara,Indonesia,September,251.00,4.98,87.0,86,144,
"Villa in Kecamatan Kuta Utara, Indonesia",Love Nest for honeymooner at best location,Villa,Kecamatan Kuta Utara,Indonesia,September,251.00,4.98,87.0,87,144,
"Home in Dinami, Italy",Panucci's house- halfway between the sea and mountain,Home,Dinami,Italy,June,25.00,4.98,245.0,79,145,
"Condo in Hollywood, Florida, US",Amazing Hyde One-bedroom apartment on the Beach,Condo,Hollywood,United States,June,248.00,4.56,62.0,650,146,Florida
"Apartment in Marina del Rey, California, US",Romantic Ocean Penthouse w/ panoramic marina views,Apartment,Marina del Rey,United States,June,247.00,4.77,111.0,559,147,California
"Apartment in Marina del Rey, California, US",Romantic Ocean Penthouse w/ panoramic marina views,Apartment,Marina del Rey,United States,June,247.00,4.77,111.0,560,147,California
"Home in Kenilworth, UK",The Water Tower at Long Meadow Farm,Home,Kenilworth,United Kingdom,June,246.00,4.85,181.0,409,148,
"Home in Tamanique, El Salvador",Black rose -Right house-,Home,Tamanique,El Salvador,June,243.00,4.63,275.0,631,149,
"Cabin in Monmouth, UK",Stargazer Cabin - Monmouth Walking Distance Town,Cabin,Monmouth,United Kingdom,July,240.00,4.9,287.0,289,150,
"Villa in Tabanan, Indonesia",Exclusive Beach Villa - Balian Beach,Villa,Tabanan,Indonesia,June,240.00,4.8,105.0,516,150,
"Apartment in Melaka, Malaysia",B1933B/5 min drive to Jonker/Seaview/Imperio/4 pax,Apartment,Melaka,Malaysia,June,24.00,4.69,196.0,604,151,
"Room in Tebet, Indonesia",The LOJI @ Patra Kuningan # 3,Room,Tebet,Indonesia,June,24.00,4.83,69.0,469,151,
"Room in Tebet, Indonesia",The LOJI @ Patra Kuningan # 3,Room,Tebet,Indonesia,June,24.00,4.83,69.0,468,151,
"Condo in Cyberjaya, Malaysia",Kanvas Soho / KLIA / FREE WIFI 500mbps,Condo,Cyberjaya,Malaysia,June,24.00,4.8,410.0,505,151,
"Place to stay in Thành phố Hội An, Vietnam",Garden view twin room with breakfast-Ngan Phu,Place to stay,Thành phố Hội An,Vietnam,June,24.00,4.85,255.0,405,151,
"Home in Hilbert, Wisconsin, US",State Park A-Frame with Hiking Trails & Arcade,Home,Hilbert,United States,June,239.00,4.97,29.0,123,152,Wisconsin
"Home in Hilbert, Wisconsin, US",State Park A-Frame with Hiking Trails & Arcade,Home,Hilbert,United States,June,239.00,4.97,29.0,124,152,Wisconsin
"Villa in เกาะพงัน, Thailand","Palma Villa, Spectacular Sea View Villa with Pool",Villa,เกาะพงัน,Thailand,July,238.00,5.0,13.0,36,153,
"Cabin in Selat, Indonesia",Nyan Bali -A Bamboo House Escape with Private Chef,Cabin,Selat,Indonesia,December,237.00,4.95,104.0,172,154,
"Hut in Abiansemal, Indonesia",Zen Hideaway #3 - ultimate Wabi-sabi experiences,Hut,Abiansemal,Indonesia,July,235.00,4.8,372.0,506,155,
"Boat in Key West, Florida, US",Cozy Houseboat “Wild One”,Boat,Key West,United States,June,233.00,5.0,4.0,58,156,Florida
"Cottage in Wasaga Beach, Canada",Cozy Riverfront Cottage Retreat with Dock,Cottage,Wasaga Beach,Canada,June,232.00,4.84,55.0,452,157,
"Treehouse in Grandview, Texas, US",Luxury Treehouse Couples Getaway w/ Peaceful Views,Treehouse,Grandview,United States,June,232.00,4.99,222.0,69,157,Texas
"Vacation home in Punta Prima, Spain",Beachfront apartment with perfect seaview,Vacation home,Punta Prima,Spain,June,231.00,4.85,204.0,407,158,
"Vacation home in Punta Prima, Spain",Beachfront apartment with perfect seaview,Vacation home,Punta Prima,Spain,June,231.00,4.85,204.0,408,158,
"Home in Puntarenas Province, Costa Rica",House with pool in the heights of Santa Teresa,Home,Puntarenas Province,Costa Rica,June,230.00,5.0,6.0,53,159,
"Condo in Melaka, Malaysia",B1731/Seaview/5 mine drive to Jonker/Imperio/4 pax,Condo,Melaka,Malaysia,June,23.00,4.54,209.0,651,160,
"Home in Kecamatan Kuta Selatan, Indonesia",One-Bedroom Villa Suite Deluxe,Home,Kecamatan Kuta Selatan,Indonesia,September,229.00,4.95,20.0,180,161,
"Cottage in Islamorada, Florida, US",1 BD PRIVATE HOUSEBOAT/ COTTAGE TARPON,Cottage,Islamorada,United States,August,229.00,4.85,74.0,419,161,Florida
"Villa in Kecamatan Ubud, Indonesia",Pelangi Treehouse (formerly Skai Joglo),Villa,Kecamatan Ubud,Indonesia,September,229.00,4.92,112.0,248,161,
"Cottage in Islamorada, Florida, US",1 BD PRIVATE HOUSEBOAT/ COTTAGE TARPON,Cottage,Islamorada,United States,August,229.00,4.85,74.0,418,161,Florida
"Bungalow in Newport Beach, California, US","Surf, Sand & Sunsets - Goldenrod CdM BEACH STUDIO",Bungalow,Newport Beach,United States,July,229.00,4.8,289.0,507,161,California
"Cabin in Marion, North Carolina, US","Luxury Treehouse, Romantic, Views, Hike-Waterfall",Cabin,Marion,United States,July,228.00,5.0,18.0,28,162,North Carolina
"Cabin in Arrowbear Lake, California, US",A-Frame Apogee | Hot Tub · Epic Views · Swing Set,Cabin,Arrowbear Lake,United States,June,227.00,4.96,166.0,139,163,California
"Cabin in Topanga, California, US","Crystal Cabin, Restored Vintage Lodge in Topanga State Park",Cabin,Topanga,United States,June,225.00,4.94,209.0,194,164,California
"Farm stay in Catsfield, UK",CABIN X GPF,Farm stay,Catsfield,United Kingdom,June,225.00,4.99,239.0,67,164,
"Tent in Island Park, Idaho, US","Yellowstone Luxury Tent; sleeps 3, 1 king +1 futon",Tent,Island Park,United States,June,224.00,5.0,31.0,20,165,Idaho
"Cabin in Trasquera, Italy",La Barona Chalet,Cabin,Trasquera,Italy,June,223.00,4.99,240.0,66,166,
"Cabin in County Wicklow, Ireland",House with breathtaking views!,Cabin,County Wicklow,Ireland,July,222.00,4.97,104.0,114,167,
"Cabin in County Wicklow, Ireland",House with breathtaking views!,Cabin,County Wicklow,Ireland,July,222.00,4.85,26.0,430,167,
"Condo in Honolulu, Hawaii, US",23FL Skyline King Studio w/Ocean & City Views.,Condo,Honolulu,United States,June,221.00,4.95,41.0,176,168,Hawaii
"Cottage in Quintana Roo, Mexico",Glass Roof House #2 at Glass 20.87,Cottage,Quintana Roo,Mexico,June,221.00,4.93,68.0,222,168,
"Cottage in Quintana Roo, Mexico",Glass Roof House #2 at Glass 20.87,Cottage,Quintana Roo,Mexico,June,221.00,4.93,68.0,223,168,
"Place to stay in Hol, Norway",Unik Hobbit Cabin,Place to stay,Hol,Norway,June,221.00,4.84,239.0,440,168,
"Loft in Seminyak, Indonesia",TROPICAL - DESIGNER LOFT - Seminyak,Loft,Seminyak,Indonesia,September,220.00,4.98,113.0,82,169,
"Camper/RV in Half Moon Bay, California, US",Quiet and Private Retreat in a 1967 Airstream on the Coast.,Camper/RV,Half Moon Bay,United States,June,220.00,4.93,347.0,213,169,California
"Cabin in El Peñol, Colombia",6 Ibuku Big Cabin by Lake Jacuzzi Kayak,Cabin,El Peñol,Colombia,June,220.00,4.93,46.0,224,169,
"Shipping container in Jauca, Puerto Rico",Pequeño espacio Romántico piscina y muelle privado,Shipping container,Jauca,Puerto Rico,July,220.00,4.95,139.0,169,169,
"Earthen home in Mueang Chiang Mai District, Thailand",Leafy Greens Chiangmai : Mushroom M2,Earthen home,Mueang Chiang Mai District,Thailand,June,22.00,4.87,210.0,361,170,
"Earthen home in Mueang Chiang Mai District, Thailand",Leafy Greens Chiangmai : Mushroom M2,Earthen home,Mueang Chiang Mai District,Thailand,June,22.00,4.87,210.0,362,170,
"Cabin in Shaftsbury, Vermont, US",The Vermont Dream Cabin on 70 Acres,Cabin,Shaftsbury,United States,June,219.00,4.89,136.0,319,171,Vermont
"Condo in Miami, Florida, US","Luxury Condo in Hotel, amenities Downtown/Brickell",Condo,Miami,United States,June,219.00,4.94,72.0,205,171,Florida
"Guesthouse in Key Largo, Florida, US","Private Cottage, enjoy beach, sunsets & fishing.",Guesthouse,Key Largo,United States,July,218.00,4.89,314.0,308,172,Florida
"Treehouse in Río Grande, Puerto Rico",Charming Treehouse with Pool,Treehouse,Río Grande,Puerto Rico,September,217.00,5.0,172.0,3,173,
"Bungalow in Ubud, Indonesia",Pondok Prapen -Ubud Center Private Pool Villa,Bungalow,Ubud,Indonesia,June,217.00,4.89,333.0,307,173,
"Apartment in Ericeira, Portugal",FLH Ericeira Ocean Flat,Apartment,Ericeira,Portugal,July,216.00,4.45,187.0,664,174,
"Apartment in Yachats, Oregon, US",Beachfront Escape Unit #1 at Beachcomber Cottages,Apartment,Yachats,United States,June,212.00,4.54,151.0,655,175,Oregon
"Home in Hamilton, Canada",Stunning house on lake Ontario,Home,Hamilton,Canada,June,210.00,4.9,192.0,291,176,
"Condo in Fiumicino, Italy",LOVE Attic,Condo,Fiumicino,Italy,June,209.00,4.85,178.0,410,177,
"Villa in Kecamatan Ubud, Indonesia",Intimate Private Pool Villas in Ubud center,Villa,Kecamatan Ubud,Indonesia,June,209.00,4.89,223.0,310,177,
"Treehouse in Tegallalang, Indonesia",Enchanted Hobbit Treehouse Nestled in the Jungle,Treehouse,Tegallalang,Indonesia,October,207.00,4.92,117.0,246,178,
"Guest suite in Huntsville, Canada",Hidden Valley’s Guest Suite - explore nature,Guest suite,Huntsville,Canada,September,207.00,4.97,265.0,106,178,
"Villa in Singaraja, Indonesia","180° VIEW, PRIVATE POOL VILLA..",Villa,Singaraja,Indonesia,June,206.00,4.93,355.0,212,179,
"Home in Ko Samui, Thailand",the naked house,Home,Ko Samui,Thailand,June,205.00,4.88,183.0,334,180,
"Cabin in Llandissilio, UK",The Llama Lodge - a Log Cabin on a Llama Farm,Cabin,Llandissilio,United Kingdom,June,205.00,4.95,111.0,171,180,
"Cabin in Llandissilio, UK",The Llama Lodge - a Log Cabin on a Llama Farm,Cabin,Llandissilio,United Kingdom,June,205.00,4.92,60.0,251,180,
"Apartment in Galveston, Texas, US",Beach Front Condo In Casa Del Mar,Apartment,Galveston,United States,June,205.00,4.72,389.0,587,180,Texas
"Villa in South Kuta, Indonesia",Nalu Bingin - 1 Bedroom Villa,Villa,South Kuta,Indonesia,September,202.00,5.0,5.0,57,181,
"Villa in Kecamatan Seririt, Indonesia",Boho-Chic villa with ocean&rice field view,Villa,Kecamatan Seririt,Indonesia,September,201.00,4.97,67.0,119,182,
"Hut in Selat, Indonesia","Vaikuntha#3, The Pursuit of Perfect Rustic Beauty",Hut,Selat,Indonesia,October,201.00,4.82,146.0,480,182,
"Home in Oceanside, Oregon, US",Movie Theater + Kid Friendly | Book the Dome!,Home,Oceanside,United States,June,200.00,4.97,64.0,120,183,Oregon
"Room in Kailua-Kona, Hawaii, US",Satori Suite (The Bamboo House),Room,Kailua-Kona,United States,June,199.00,4.91,292.0,259,184,Hawaii
"Home in ตำบล บ้านใต้, Thailand","❤️THE LOFT, Romantic Beachfront Home, HIN KONG.",Home,ตำบล บ้านใต้,Thailand,August,198.00,4.96,56.0,148,185,
"Home in ตำบล บ้านใต้, Thailand","❤️THE LOFT, Romantic Beachfront Home, HIN KONG.",Home,ตำบล บ้านใต้,Thailand,August,198.00,4.96,56.0,147,185,
"Windmill in Atouguia da Baleia, Portugal",Moinho do Sr. Arnaldo - Big Windmill at Peniche,Windmill,Atouguia da Baleia,Portugal,June,196.00,4.85,13.0,434,186,
"Villa in Seririt, Indonesia",Wake up to the Sea of Bali: Beachfront luxury plus,Villa,Seririt,Indonesia,October,194.00,5.0,139.0,4,187,
"Villa in Seririt, Indonesia",Wake up to the Sea of Bali: Beachfront luxury plus,Villa,Seririt,Indonesia,October,194.00,5.0,139.0,5,187,
"Villa in Seririt, Indonesia",Wake up to the Sea of Bali: Beachfront luxury plus,Villa,Seririt,Indonesia,October,194.00,5.0,139.0,6,187,
"Villa in Kecamatan Ubud, Indonesia",Madara Ubud Villas,Villa,Kecamatan Ubud,Indonesia,August,194.00,4.83,129.0,463,187,
"Home in Blue Ridge, Georgia, US",*Summer Sizzle* 5 Min to Blue Ridge* Pets* Hot tub,Home,Blue Ridge,United States,June,192.00,4.94,88.0,200,188,Georgia
"Apartment in Bangkok, Thailand",Spacious Apt in City of Angels,Apartment,Bangkok,Thailand,June,19.00,4.95,438.0,159,189,
"Villa in Kecamatan Banjar, Indonesia",❤PROMO Beachfront oasis. Private pool and firepit,Villa,Kecamatan Banjar,Indonesia,June,189.00,4.74,46.0,578,190,
"Room in Malibu, California, US","Peace, Beauty & Ocean View, Malibu",Room,Malibu,United States,September,189.00,4.95,1014.0,157,190,California
"Tiny home in Kabupaten Tabanan, Indonesia",Balian Beachfront Luxury Tiny House,Tiny home,Kabupaten Tabanan,Indonesia,June,186.00,5.0,19.0,27,191,
"Hut in Uvero Alto - Bavaro - Punta Cana, Dominican Republic",Hut #2 Romantic Luxury on the sand,Hut,Uvero Alto - Bavaro - Punta Cana,Dominican Republic,August,186.00,4.94,226.0,192,191,
"Hut in Uvero Alto - Bavaro - Punta Cana, Dominican Republic",Hut #2 Romantic Luxury on the sand,Hut,Uvero Alto - Bavaro - Punta Cana,Dominican Republic,August,186.00,4.94,226.0,193,191,
"Apartment in Los Angeles, California, US",Historic Venice Apt 1/2 blocks to beach+parking,Apartment,Los Angeles,United States,November,185.00,4.94,431.0,186,192,California
"Home in Positano, Italy",Villa Laurito,Home,Positano,Italy,October,185.00,4.88,66.0,342,192,
"Home in Positano, Italy",Villa Laurito,Home,Positano,Italy,October,185.00,4.88,66.0,343,192,
"Vacation home in Akrotiri, Greece",The North Windmill ⚓ Unique House with View,Vacation home,Akrotiri,Greece,June,184.00,4.98,46.0,96,193,
"Room in Kihei, Hawaii, US","GARDEN ROOM, private bathroom, separate entrance",Room,Kihei,United States,June,184.00,4.96,284.0,132,193,Hawaii
"Barn in Nutley, UK",Rural Retreat on the Ashdown Forest,Barn,Nutley,United Kingdom,June,184.00,4.96,114.0,141,193,
"Home in Mabini, Philippines",Bathing Private Exclusive Cottage,Home,Mabini,Philippines,June,183.00,4.91,181.0,264,194,
"Villa in Pollina, Italy",Romantic and one-of-a-kind Beachouse,Villa,Pollina,Italy,October,183.00,4.88,48.0,347,194,
"Cabin in Darżkowo, Poland",hut in the mid. of nowhere + priv pond+3 ha,Cabin,Darżkowo,Poland,June,181.00,4.79,396.0,526,195,
"Hut in Guarne, Colombia",Refugio LOS PAPIROS,Hut,Guarne,Colombia,June,18.00,4.89,66.0,326,196,
"Houseboat in Low, Canada",The Dragon + Private Island,Houseboat,Low,Canada,June,178.00,4.87,61.0,372,197,
"Hut in Oxfordshire, UK",Rectory Farm Hideaway,Hut,Oxfordshire,United Kingdom,August,178.00,4.93,535.0,209,197,
"Apartment in Biarritz, France",Biarritz Grande Plage 25m2 with Balcony,Apartment,Biarritz,France,June,176.00,4.91,316.0,258,198,
"Villa in Ubud, Indonesia","Luxe Villa in Tropical Oasis, Ubud. Walk to town.",Villa,Ubud,Indonesia,October,176.00,4.93,287.0,214,198,
"Tiny home in Bolton, Vermont, US",Cozy Tiny House Cabin between Burlington and Stowe,Tiny home,Bolton,United States,June,174.00,4.97,372.0,104,199,Vermont
"Condo in Rosarito, Mexico",LUXE & STYLISH/3BR/LAS OLAS CONDO/12TH FLR/ROSARITO,Condo,Rosarito,Mexico,June,173.00,4.8,207.0,509,200,
"Boat in Stuart, Florida, US",Modern Houseboat On the water,Boat,Stuart,United States,August,173.00,4.97,264.0,107,200,Florida
"Cabin in Bowen Island, Canada",the legendary wildwood cabins ~ CABIN 4,Cabin,Bowen Island,Canada,July,173.00,4.98,678.0,76,200,
"Hut in Ubud, Indonesia",Bali Bamboo House | Rescape Ubud - Relief Villa,Hut,Ubud,Indonesia,October,171.00,4.79,164.0,531,201,
"Condo in Rosarito, Mexico",Elegant Ocean Front Condo! Rosarito Beach !WOW!!,Condo,Rosarito,Mexico,June,171.00,4.81,245.0,494,201,
"Hut in Bavaro, Dominican Republic",Hut #1 Romantic Luxury Beachfront,Hut,Bavaro,Dominican Republic,July,171.00,4.89,377.0,305,201,
"Home in Tabanan, Indonesia",Ocean View Pool Villa @ Balian Beach,Home,Tabanan,Indonesia,June,170.00,4.76,282.0,564,202,
"Home in Tabanan, Indonesia",Ocean View Pool Villa @ Balian Beach,Home,Tabanan,Indonesia,June,170.00,4.76,282.0,565,202,
"Condo in Atlantic City, New Jersey, US",Highest Reviewed - Ocean Front + Free Parking!,Condo,Atlantic City,United States,June,170.00,4.85,278.0,404,202,New Jersey
"Hotel in Nha Trang, Vietnam",VENUE HOTEL-20% Superior City NiceWindow#Good Rate,Hotel,Nha Trang,Vietnam,June,17.00,4.35,17.0,676,203,
"Tiny home in Draperstown, UK",The Black Shack @ Bancran School,Tiny home,Draperstown,United Kingdom,August,169.00,4.97,304.0,105,204,
"Vacation home in Rocchetta Nervina, Italy",The Loggia,Vacation home,Rocchetta Nervina,Italy,June,169.00,4.85,61.0,423,204,
"Cabin in Sanbornton, New Hampshire, US",The G Frame...an offGrid Cabin + woodstove sauna,Cabin,Sanbornton,United States,June,169.00,4.96,395.0,130,204,New Hampshire
"Home in Viana do Castelo, Portugal",Amonde Village - Casa P * Comfort & Quality,Home,Viana do Castelo,Portugal,June,168.00,4.98,51.0,93,205,
"Home in Cape Coral, Florida, US",Amazing Modern Home with Pool and Hot Tub!,Home,Cape Coral,United States,July,167.00,4.84,136.0,445,206,Florida
"Hotel room in Ubud, Indonesia","Malay villa, Best views in Ubud!",Hotel room,Ubud,Indonesia,June,167.00,4.77,119.0,558,206,
"Home in Cape Coral, Florida, US",Amazing Modern Home with Pool and Hot Tub!,Home,Cape Coral,United States,July,167.00,4.84,136.0,446,206,Florida
"Tower in Gombola, Italy",Tower house Gombola,Tower,Gombola,Italy,June,166.00,4.87,45.0,375,207,
"Villa in Tampaksiring, Indonesia",Ceylon Villas 1 - 2BR Villa! 5 mins to Ubud 🌴,Villa,Tampaksiring,Indonesia,September,166.00,4.89,176.0,317,207,
"Apartment in Gordonville, Pennsylvania, US",“What a wonderful world” - Modern Farmhouse,Apartment,Gordonville,United States,June,165.00,4.87,478.0,353,208,Pennsylvania
"Apartment in Gordonville, Pennsylvania, US",“What a wonderful world” - Modern Farmhouse,Apartment,Gordonville,United States,June,165.00,4.87,478.0,354,208,Pennsylvania
"Boutique hotel in San Juan, Puerto Rico",2 Pools on property | Walk to the beach | Rosalina Ocean Park | Luxury Suite 3,Boutique hotel,San Juan,Puerto Rico,July,164.00,4.81,212.0,495,209,
"Shipping container in Dirlaught, Ireland",Amazing shipping container house + sea views+ WIFI,Shipping container,Dirlaught,Ireland,August,164.00,4.91,43.0,275,209,
"Villa in Ko Lanta District, Thailand","DEEPSPACE villa X1 ,Secret Address on Quiet Beach",Villa,Ko Lanta District,Thailand,June,164.00,4.7,47.0,602,209,
"Villa in General Luna, Philippines",Oceanfront Pool Villa,Villa,General Luna,Philippines,July,163.00,4.96,23.0,155,210,
"Villa in General Luna, Philippines",Oceanfront Pool Villa,Villa,General Luna,Philippines,July,163.00,4.96,23.0,156,210,
"Barn in Essex, Canada",14th Homestead Barn Loft,Barn,Essex,Canada,June,163.00,4.9,289.0,288,210,
"Room in Kissimmee, Florida, US",Disney/Universal Home Away from Home!,Room,Kissimmee,United States,August,162.00,4.95,221.0,164,211,Florida
"Villa in Koh Lanta Island, Thailand",Perch Villa - Clifftop villa spectacular sea view,Villa,Koh Lanta Island,Thailand,June,162.00,4.94,71.0,206,211,
"Tiny home in Playa Hermosa, Costa Rica",Beachfront Bungalow with private hydromassage Pool,Tiny home,Playa Hermosa,Costa Rica,July,162.00,4.95,149.0,168,211,
"Cabin in Nelson, Canada",Downey Family Cabin. Barrel Sauna Included!,Cabin,Nelson,Canada,June,162.00,4.99,226.0,68,211,
"Room in Monteverde, Costa Rica",Holistic House Diamond,Room,Monteverde,Costa Rica,June,160.00,4.96,274.0,134,212,
"Campsite in Rif, Iceland",Washitsu.Casa camper Parking place w/house access,Campsite,Rif,Iceland,June,16.00,4.91,107.0,270,213,
"Nature lodge in Highland Council, UK",Elegant Little Wyvis Lodge - Sleeps 2,Nature lodge,Highland Council,United Kingdom,June,159.00,4.96,95.0,145,214,
"Loft in Monteverde, Costa Rica",Kapetsowa Container Loft near Monteverde Reserve,Loft,Monteverde,Costa Rica,September,159.00,4.87,396.0,356,214,
"Nature lodge in Highland Council, UK",Elegant Little Wyvis Lodge - Sleeps 2,Nature lodge,Highland Council,United Kingdom,June,159.00,4.96,95.0,144,214,
"Villa in Abiansemal, Indonesia",Ayung Panorama. Poetic house on Ayung River cliff,Villa,Abiansemal,Indonesia,August,159.00,4.91,227.0,263,214,
"Trullo in Ostuni, Italy",TRULLO ISABELLA,Trullo,Ostuni,Italy,June,158.00,4.98,95.0,84,215,
"Treehouse in Zona Hotelera, Mexico","Tree House - Beach Area, KS bed, 3 PPL",Treehouse,Zona Hotelera,Mexico,July,157.00,4.75,165.0,571,216,
"Villa in Ubud, Indonesia",Ceylon Villas 2 - 2BR Villa! 5 mins to Ubud 🌴,Villa,Ubud,Indonesia,October,157.00,4.88,112.0,338,216,
"Place to stay in Kecamatan Kuta Selatan, Indonesia",Gypsea Bali Bungalow with private bathroom and AC,Place to stay,Kecamatan Kuta Selatan,Indonesia,September,155.00,4.92,78.0,249,217,
"Place to stay in Pecatu, Indonesia",°3 Charming room in Bingin beach,Place to stay,Pecatu,Indonesia,September,155.00,4.52,523.0,656,217,
"Home in 頭城鎮, Taiwan","Newly furnished first row of seaview in Moon, sea view, perfect sunrise ~ long term rental welcome (also discounted)",Home,頭城鎮,Taiwan,July,155.00,4.92,216.0,238,217,
"Tiny home in Sandy Valley, Nevada, US",Peacock Tiny House near Las Vegas,Tiny home,Sandy Valley,United States,June,154.00,4.92,744.0,229,218,Nevada
"Room in Sidemen, Indonesia",Heritage of Art Villa Iseh in Sidemen East Bali,Room,Sidemen,Indonesia,June,154.00,4.89,111.0,321,218,
"Place to stay in Hopatcong, New Jersey, US",Lake Sports Home & Super water sports!,Place to stay,Hopatcong,United States,August,154.00,5.0,18.0,29,218,New Jersey
"Loft in The Blue Mountains, Canada",Chateau Ridge Chalet w/ Mountain View,Loft,The Blue Mountains,Canada,June,154.00,4.84,95.0,448,218,
"Loft in George Town, Malaysia",*6Maritime Seafront Scandinavian Home‖北欧风格日出无敌海景套房,Loft,George Town,Malaysia,June,153.00,4.39,380.0,672,219,
"Room in Kecamatan Ubud, Indonesia","Exclusive Villa, for Couples Looking To Relax",Room,Kecamatan Ubud,Indonesia,September,149.00,4.85,62.0,422,220,
"Farm stay in Montepulciano, Italy",Rural Tuscany | Wine farm with pool | Terrarossa,Farm stay,Montepulciano,Italy,June,148.00,4.33,6.0,678,221,
"Room in Kansas City, Missouri, US",Mansion in the Park - garden view queen en suite,Room,Kansas City,United States,June,148.00,4.99,93.0,73,221,Missouri
"Cabin in Kecamatan Sukasada, Indonesia",Wanagiri Cabin,Cabin,Kecamatan Sukasada,Indonesia,November,148.00,4.97,29.0,125,221,
"Apartment in Laguna Beach, California, US",Laguna Beach Studio Oceanviews 49,Apartment,Laguna Beach,United States,June,148.00,4.36,273.0,675,221,California
"Cabin in Adainville, France",Wonderful Old Cabin on Rare Natural Site,Cabin,Adainville,France,June,147.00,4.93,151.0,218,222,
"Lighthouse in Ploemeur, France",Q3 BNB Premium Residence - The Engineering Tower,Lighthouse,Ploemeur,France,June,147.00,4.8,10.0,522,222,
"Lighthouse in Ploemeur, France",Q3 BNB Premium Residence - The Engineering Tower,Lighthouse,Ploemeur,France,June,147.00,4.8,10.0,521,222,
"Shipping container in Playa Hermosa, Costa Rica",Beachfront Bungalow w/ private hydromassage pool 2,Shipping container,Playa Hermosa,Costa Rica,June,147.00,4.9,68.0,298,222,
"Room in Panama City Beach, Florida, US","LOVELY ROOM, WALK TO BEACH, GORGEOUS DECK",Room,Panama City Beach,United States,June,146.00,4.88,256.0,332,223,Florida
"Home in Pinilla, Costa Rica",Casa La Paz vistas al mar @ Pinilla Highlands,Home,Pinilla,Costa Rica,July,146.00,4.86,7.0,398,223,
"Home in Tambon Bo Put, Thailand",Directly on the beach-for animal lovers only,Home,Tambon Bo Put,Thailand,June,144.00,5.0,27.0,22,224,
"Cottage in Petit-Tracadie, Canada",Waterfront Cottage #1 /Waterfront cottage,Cottage,Petit-Tracadie,Canada,June,144.00,4.92,267.0,236,224,
"Farm stay in Şarköy, Turkey",Off-Grid vineyard and olive orchard home.,Farm stay,Şarköy,Turkey,June,144.00,5.0,9.0,48,224,
"Condo in San Juan, Puerto Rico",CDM-Beach living @ Condado with pool and parking!,Condo,San Juan,Puerto Rico,July,144.00,4.84,141.0,444,224,
"Bungalow in Antipolo, Philippines",Antipolo - Secluded and Romantic,Bungalow,Antipolo,Philippines,June,143.00,4.87,478.0,355,225,
"Dome in Hiawassee, Georgia, US",Tiny Dome River Glamping Experience,Dome,Hiawassee,United States,June,143.00,4.86,289.0,383,225,Georgia
"Treehouse in Frazeysburg, Ohio, US",Tullihas in the Trees Off-Grid Treehouse,Treehouse,Frazeysburg,United States,June,143.00,4.98,181.0,81,225,Ohio
"Earthen home in Weaverville, North Carolina, US",Hobbithenge,Earthen home,Weaverville,United States,June,142.00,4.83,304.0,456,226,North Carolina
"Apartment in Megalochori, Greece",Casa Tua,Apartment,Megalochori,Greece,June,142.00,4.66,68.0,624,226,
