title,property_type,city,country,detail,amenities,date,day,month,price,rating,review
"Cabin in Bridge of Earn, UK",Cabin,Bridge of Earn,UK,"The Haven Hut, warm, cosy and cute.",,Jun 30 - Jul 5,30,,64.0,4.77,
"Treehouse in Mons, France",,,US,Delightful rustic treehouse,,Jun 1 - 6,1,6,42.0,4.67,
"Campsite in Rif, Iceland",,,US,Washitsu.Casa camper Parking place w/house access,"Parking, Air conditioning",Jun 1 - 6,1,6,16.0,4.91,
"Condo in Roviano, Italy",,,US,Apartment-Mansarda Vista Castello,,Jun 8 - 13,8,6,61.0,5.0,
"Home in Jumilhac-le-Grand, France",,,US,Bettyjems Stage Refuge,,Jun 21 - 28,21,6,20.0,,
"Cabin in Rosenthal-Bielatal, Germany",,,US,Mountain hut in the Elbe sandstone with log cabin sauna,,Jun 4 - 9,4,6,98.0,4.78,
"Hut in Wolfegg, Germany",,,US,"Shepherd's hut ""Wolkakkrazer"" near Wolfegg",,Jul 2 - 7,2,7,57.0,4.88,
"Dome in Atzeneta del Maestrat, Spain",,,US,Private domed Copula @ Free Spirit horse refuge,,Jun 1 - 6,1,6,63.0,4.61,
"Home in Taktikoupoli, Greece",,,US,Levanda Home,,Oct 10 - 17,10,10,73.0,4.91,
"Apartment in Le Relecq-Kerhuon, France",,,US,Face à la mer Brestoise,Air conditioning,Jun 1 - 6,1,6,87.0,,
"Nature lodge in Fethiye, Turkey",,,US,DEEP OCEAN BUNGALOWS-PANORAMIC &DOUBLE &HALF BOARD,,Jun 5 - 10,5,6,115.0,4.91,
"Chalet in Covilhã, Portugal",,,US,Xitaca do Pula,Air conditioning,Jun 11 - 17,11,6,78.0,4.95,
"Apartment in Abram, Greece",,,US,Infinity Abram,,Jun 1 - 7,1,6,61.0,4.57,
"Room in Halsham, UK",Room,Halsham,UK,King bedroom in historic house with garden access,Air conditioning,Jun 4 - 9,4,6,92.0,4.96,
"Vacation home in Rocchetta Nervina, Italy",,,US,The Loggia,,Jun 2 - 7,2,6,169.0,4.85,
"Home in Cernobbio, Italy",,,US,Ca' Roncate,,Oct 24 - 31,24,10,127.0,4.9,
"Camper/RV in Wettringen, Germany",,,US,Trailer Paradise Ivonete _unwind,,Jun 10 - 15,10,6,46.0,4.97,
"Home in Otívar, Spain",,,US,"Views to the valley, Wi-Fi, Air-Con, terrace,","Wi-Fi, Air conditioning",Jun 11 - 18,11,6,79.0,4.88,
"Home in Castelmezzano, Italy",,,US,Casa del Mago - Castelmezzano,,Jun 12 - 17,12,6,93.0,4.78,
"Windmill in Atouguia da Baleia, Portugal",,,US,Moinho do Sr. Arnaldo - Big Windmill at Peniche,,Jun 19 - 26,19,6,196.0,4.85,
"Earthen home in La Canourgue, France",,,US,canopy house,,Jun 27 - Jul 2,27,,81.0,4.81,
"Home in Dinami, Italy",,,US,Panucci's house- halfway between the sea and mountain,,Jun 1 - 6,1,6,25.0,4.98,
"Cottage in Crossdoney, Ireland",,,US,Peacock House,Air conditioning,Jun 11 - 17,11,6,80.0,,
"Villa in Abiansemal, Indonesia",,,US,"Aura House 2bds Eco Bamboo House, Pool, River View",Pool,Jan 9 - 14,9,1,513.0,4.87,
"Hut in Balian Beach, Indonesia",,,US,BALIAN TREEHOUSE w beautiful pool,Pool,Jun 21 - 26,21,6,117.0,4.85,
"Hut in Ubud, Indonesia",,,US,Bali Bamboo House | Rescape Ubud - Relief Villa,,Oct 29 - Nov 3,29,,171.0,4.79,
"Villa in Ubud, Indonesia",,,US,❣️Romantic Staycation-PrivateSunset Pool@megananda,Pool,Nov 18 - 23,18,11,111.0,4.92,
"Cabin in Tampaksiring, Indonesia",,,US,Dome - Bamboo Villa in Eco Six Bali,,Jul 4 - 9,4,7,420.0,4.87,
"Treehouse in Balamban, Philippines",,,US,Treehouse De Valentine,,Jun 15 - 20,15,6,255.0,4.91,
"Villa in Tampaksiring, Indonesia",,,US,Luxury 5 BDR Resort w/ Gym & Ricefield View,,Sep 12 - 17,12,9,506.0,4.78,
"Island in El Nido, Philippines",,,US,"Exclusive Private Island + Brother Island, El Nido",,Jun 1 - 6,1,6,469.0,4.82,
"Room in Chom Phon, Thailand",,,US,15min walk to MRT Private room for 3 Free Brekkie.,,Jun 24 - 29,24,6,31.0,4.9,
"Villa in Kecamatan Ubud, Indonesia",,,US,Elegant & luxurious 3 BR villa rice-fields pano,,Jun 21 - 26,21,6,322.0,4.65,
"Villa in Tabanan, Indonesia",,,US,Exclusive Beach Villa - Balian Beach,Air conditioning,Jun 1 - 6,1,6,240.0,4.8,
"Villa in Singaraja, Indonesia",,,US,"180° VIEW, PRIVATE POOL VILLA..",Pool,Jun 11 - 16,11,6,206.0,4.93,
"Apartment in Phuket, Thailand, Thailand",,,US,White Breeze Pool 1BD Apartment,Pool,Jun 4 - 10,4,6,64.0,4.69,
"Villa in Nusa Ceningan, Indonesia",,,US,Beautiful villa on the edge of BLUE LAGOON,,Jun 1 - 6,1,6,264.0,4.83,
"Villa in Kecamatan Ubud, Indonesia",,,US,Intimate Private Pool Villas in Ubud center,Pool,Jun 7 - 12,7,6,209.0,4.89,
"Hut in Kecamatan Ubud, Indonesia",,,US,50% OFF | Ipian Cinta with Private Pool jacuzzi,"Pool, Jacuzzi, Air conditioning",Oct 28 - Nov 2,28,,142.0,4.62,
"Villa in Kecamatan Kuta Utara, Indonesia",,,US,Love Nest for honeymooner at best location,,Sep 3 - 8,3,9,251.0,4.98,
"Earthen home in Mueang Chiang Mai District, Thailand",,,US,Leafy Greens Chiangmai : Mushroom M2,,Jun 13 - 20,13,6,22.0,4.87,
"Villa in Payangan, Indonesia",,,US,❣️Secluded Getaway Staycation+SunsetPool@megananda,Pool,Nov 6 - 11,6,11,111.0,4.89,
"Villa in Ubud, Kabupaten Gianyar, Indonesia",,,US,#3# Beautiful Balinese Villa with Private Pool,Pool,Nov 12 - 17,12,11,137.0,4.91,
"Villa in เกาะพงัน, Thailand",,,US,"Palma Villa, Spectacular Sea View Villa with Pool","Pool, Ocean view, Air conditioning",Jul 17 - 22,17,7,238.0,5.0,
"Villa in Tegallalang, Indonesia",,,US,Luxurious Private Pool Villa with Garden North of Ubud,Pool,Oct 14 - 19,14,10,126.0,4.92,
"Tiny home in Kecamatan Ubud, Indonesia",,,US,Tiny Tall Haus Ubud Getaway!,,Jun 26 - Jul 1,26,,95.0,4.87,
"Bungalow in Ubud, Indonesia",,,US,Pondok Prapen -Ubud Center Private Pool Villa,Pool,Jun 15 - 20,15,6,217.0,4.89,
"Villa in Tampaksiring, Indonesia",,,US,Beetle - Bamboo Villa in Eco Six Bali Resort,,Oct 28 - Nov 2,28,,458.0,4.82,
"Home in Ko Samui, Thailand",,,US,the naked house,,Jun 5 - 10,5,6,205.0,4.88,
"Villa in Kamala, Thailand",,,US,"""Villa Sauvage 2 br"" - a magic horizon of coziness",,Jun 6 - 11,6,6,122.0,4.57,
"Home in Mabini, Philippines",,,US,Bathing Private Exclusive Cottage,,Jun 12 - 17,12,6,183.0,4.91,
"Hut in Abiansemal, Indonesia",,,US,Zen Hideaway #3 - ultimate Wabi-sabi experiences,,Jul 30 - Aug 4,30,,235.0,4.8,
"Tiny home in Cavinti, Philippines",,,US,"Explore, Experience, Enjoy T-HOUSE Lakestaycation!",,Jun 2 - 7,2,6,39.0,4.43,
"Hut in Tampaksiring, Indonesia",,,US,Hidden Bamboo Bali,,Nov 8 - 13,8,11,136.0,4.91,
"Room in Kecamatan Denpasar Selatan, Indonesia",,,US,Poolside room in large villa. 5 minutes to beach.,"Pool, Air conditioning",Aug 10 - 16,10,8,34.0,5.0,
"Room in Bangkok, Thailand",,,US,Ba hao Residence x MAITRI CHIT ROOM,,Aug 15 - 20,15,8,96.0,4.93,
"Boutique hotel in Ko Samui, Thailand",,,US,Pool Villa by Humble,Pool,Jun 15 - 20,15,6,63.0,4.93,
"Apartment in Muang Pattaya, Thailand",,,US,[VR] 2BR High Skyline Ocean View @ Pattaya,Ocean view,Jun 5 - 10,5,6,136.0,4.69,
"Home in Kuta, Indonesia",,,US,Villa Seminyak 1 Bedroom 10 Mins to Beach,Air conditioning,Jun 11 - 16,11,6,69.0,4.67,
"Villa in Ko Lanta District, Thailand",,,US,"DEEPSPACE villa X1 ,Secret Address on Quiet Beach",Air conditioning,Jun 6 - 11,6,6,164.0,4.7,
"Place to stay in Balian Beach, Indonesia",,,US,BALIAN TREEHOUSE 2 - with private pool,Pool,Jul 21 - 28,21,7,131.0,4.89,
"Villa in Thành phố Hội An, Vietnam",,,US,Private pool two bedroom villa - villa the cow,Pool,Jun 3 - 8,3,6,97.0,4.8,
"Apartment in 清迈, Thailand",,,US,清迈 The Astra Condo长康路无边泳池豪华公寓古城夜市边Chang Khlan road,,Jun 12 - 17,12,6,33.0,4.68,
"Place to stay in Thành phố Hội An, Vietnam",,,US,Garden view twin room with breakfast-Ngan Phu,,Jun 10 - 17,10,6,24.0,4.85,
"Room in Sidemen, Indonesia",,,US,Heritage of Art Villa Iseh in Sidemen East Bali,,Jun 1 - 6,1,6,154.0,4.89,
"Apartment in Tambon Patong, Thailand",,,US,One-Bedroom Suite in Patong Beach,Air conditioning,Jun 9 - 14,9,6,49.0,4.73,
"Condo in Khet Watthana, Thailand",,,US,"【CENTRAL STUDIO】0-min BTS ASOK, FAST WIFI, NETFLIX",Wi-Fi,Jun 1 - 6,1,6,58.0,4.74,
"Villa in Koh Yao Noi, Thailand",,,US,"Eagles Nest, Luxury Villa, Koh Yao Noi",,Jun 1 - 6,1,6,986.0,4.95,
"Hotel room in Thành phố Hội An, Vietnam",,,US,FIG TREE BOUTIQUE VILLA,,Jun 1 - 6,1,6,30.0,4.83,
"Earthen home in Ao nang, Thailand",,,US,Seaview Bedrock Home,,Jun 1 - 6,1,6,131.0,4.8,
"Villa in Langkawi, Malaysia",,,US,Alamanda Tropical Wooden Villa - Pool View,Pool,Jun 15 - 20,15,6,97.0,4.87,
"Villa in Koh Lanta Island, Thailand",,,US,Perch Villa - Clifftop villa spectacular sea view,"Ocean view, Air conditioning",Jun 6 - 11,6,6,162.0,4.94,
"Guesthouse in Kecamatan Kuta Utara, Indonesia",,,US,Tropical Private Room Canggu 3 by Rios Guest House,,Aug 4 - 11,4,8,33.0,4.86,
"Villa in Rayong, Thailand",,,US,"Luxury Beach Front Pool Villa, Phuphatara Rayong","Pool, Air conditioning",Jun 6 - 11,6,6,359.0,4.68,
"Cottage in Lamai Beach, Thailand",,,US,TROPICAL POOL BEACH VILLA III | Beach-Pool-Freedom,"Pool, Air conditioning",Jun 3 - 8,3,6,142.0,4.92,
"Cabin in Kecamatan Ubud, Indonesia",,,US,Samu House. Tropical stay private pool.Adults Only,Pool,Sep 29 - Oct 4,29,,108.0,4.84,
"Villa in Tampaksiring, Indonesia",,,US,Romantic 1br Villa - Ubud Jungle,,Dec 24 - 29,24,12,363.0,5.0,
"Treehouse in Tampaksiring, Indonesia",,,US,umatreehouse,,Nov 16 - 21,16,11,133.0,4.93,
"Treehouse in Ubud, Indonesia",,,US,"Promo Price! Magical Treehouse, Stunning Views.",,Aug 23 - 30,23,8,280.0,4.78,
"Bungalow in Nusapenida, Indonesia",,,US,Tropical Glamping 🌴 Cliff Side Ocean View + Net🐬,Ocean view,Oct 26 - 31,26,10,474.0,4.93,
"Treehouse in Klungkung, Indonesia",,,US,Cliffside Bamboo Treehouse - Private Pool & View,Pool,Nov 14 - 19,14,11,484.0,5.0,
"Cabin in Klungkung, Indonesia",,,US,Dreamy Cliffside Bamboo Villa with Pool and View,Pool,Nov 5 - 10,5,11,484.0,4.98,
"Cottage in Ubud, Indonesia",,,US,25%OFF! Romantic Honeymoon Escape in Ubud Paradise,,Jun 28 - Jul 3,28,,117.0,4.77,
"Resort in Nusa Lembongan,, Indonesia",,,US,Acala Lembongan-Deluxe Suite Sea View,"Ocean view, Air conditioning",Oct 6 - 11,6,10,92.0,4.63,
"Villa in Ubud, Indonesia",,,US,NEW 5BR Luxury Villa in Ubud: Pool and Jungle View,Pool,Jun 20 - 25,20,6,451.0,,
"Treehouse in Kabupaten Buleleng, Indonesia",,,US,Seaside Designer Treehouse ~ Stunning Views ~ Pool,Pool,Jun 13 - 18,13,6,121.0,4.75,
"Room in Kabupaten Buleleng, Indonesia",,,US,private villa with infinity pool hill and sea view,"Pool, Ocean view",Oct 6 - 11,6,10,53.0,4.8,
"Hut in Ubud, Indonesia",,,US,50% OFF | Ipian Jiwa Eco Bamboo Uniquely Escape,,Oct 11 - 16,11,10,89.0,4.67,
"Villa in Bacnotan, La Union, Philippines",,,US,"Private Modern Beachfront Villa: Pool, Sunset View","Pool, Ocean front, Air conditioning",Jun 28 - Jul 3,28,,628.0,5.0,
"Villa in Lian, Philippines",,,US,SoftLaunch IbizaInspiredBeachfrontVilla inBatangas,"Ocean front, Air conditioning",Jul 2 - 7,2,7,473.0,4.91,
"Hotel in Kecamatan Ubud, Indonesia",,,US,Stunning Room Near Ubud Market - Outdoor Pool!!,Pool,Sep 14 - 20,14,9,44.0,4.78,
"Hotel in Tambon Ratsada, Thailand",,,US,Hotel Room with Private Plunge Pool Siray Bay#2,Pool,Jun 13 - 18,13,6,71.0,5.0,
"Guest suite in Bingin Beach, Indonesia",,,US,Suite 2 - Beachfront Luxury Suite on Bingin Beach,"Ocean front, Air conditioning",Oct 16 - 21,16,10,267.0,4.93,
"Villa in Bacnotan, La Union, Philippines",,,US,"Private Modern Beachfront Villa: Pool, Sunset View","Pool, Ocean front, Air conditioning",Jun 28 - Jul 3,28,,628.0,5.0,
"Loft in Seminyak, Indonesia",,,US,TROPICAL - DESIGNER LOFT - Seminyak,,Sep 26 - Oct 1,26,,220.0,4.98,
"Villa in Lian, Philippines",,,US,SoftLaunch IbizaInspiredBeachfrontVilla inBatangas,"Ocean front, Air conditioning",Jul 2 - 7,2,7,473.0,4.91,
"Treehouse in Klungkung, Indonesia",,,US,3 Bdr - The Dream Cliffside Bamboo Villa By Avana,,Aug 3 - 8,3,8,913.0,4.97,
"Villa in Kecamatan Ubud, Indonesia",,,US,Madara Ubud Villas,,Aug 2 - 7,2,8,194.0,4.83,
"Shipping container in Tambon Bo Put, Thailand",,,US,New 2BR+2Bath Eco Home,,Jul 24 - 29,24,7,53.0,4.73,
"Place to stay in Penebel, Indonesia",,,US,Le Aiken Xperience - Unique Bamboo House,,Aug 30 - Sep 4,30,,252.0,4.69,
"Home in Kecamatan Tampaksiring, Indonesia",,,US,Six-Bamboo Villa in Eco Six Bali Resort,,Sep 30 - Oct 6,30,,458.0,5.0,
"Home in Kecamatan Kuta Selatan, Indonesia",,,US,One-Bedroom Villa Suite Deluxe,,Sep 24 - 29,24,9,229.0,4.95,
"Treehouse in Tegallalang, Indonesia",,,US,Enchanted Hobbit Treehouse Nestled in the Jungle,,Oct 17 - 24,17,10,207.0,4.92,
"Home in Tegallalang, Indonesia",,,US,Romantic hideaway for two,,Oct 25 - 30,25,10,33.0,4.97,
"Apartment in Nasugbu, Philippines",,,US,PICO DE LORO ( Santorini Vibe),,Jun 25 - 30,25,6,112.0,4.88,
"Villa in Kecamatan Tampaksiring, Indonesia",,,US,*NEW* Lovely New 3BR Villa Stunning Jungle View,,Sep 12 - 17,12,9,381.0,4.7,
"Villa in South Kuta, Indonesia",,,US,Nalu Bingin - 1 Bedroom Villa,,Sep 25 - 30,25,9,202.0,5.0,
"Villa in Kecamatan Ubud, Indonesia",,,US,Pelangi Treehouse (formerly Skai Joglo),,Sep 25 - 30,25,9,229.0,4.92,
"Place to stay in Pecatu, Indonesia",,,US,°3 Charming room in Bingin beach,Air conditioning,Sep 10 - 15,10,9,155.0,4.52,
"Villa in Ubud, Indonesia",,,US,"Luxe Villa in Tropical Oasis, Ubud. Walk to town.",,Oct 28 - Nov 2,28,,176.0,4.93,
"Villa in Banjar, Indonesia",,,US,4br Lovina Paradise - Ocean View,Ocean view,Jun 9 - 14,9,6,460.0,4.93,
"Condo in Johor Bahru, Malaysia",,,US,"Baby & kids friendly, JB CIQ, Romantic Duplex",,Jun 25 - 30,25,6,75.0,4.82,
"Tiny home in Concepcion, Philippines",,,US,Tiny House by The Modern Escape,,Jul 3 - 8,3,7,128.0,5.0,
"Villa in Kecamatan Kuta Utara, Indonesia",,,US,Gorgeous luxury 1 bedroom villa in heart of Canggu,,Sep 9 - 14,9,9,325.0,4.87,
"Villa in Kecamatan Seririt, Indonesia",,,US,Boho-Chic villa with ocean&rice field view,,Sep 28 - Oct 3,28,,201.0,4.97,
"Villa in Ubud, Indonesia",,,US,Ceylon Villas 4 - 1BR Villa! 5 mins to Ubud 🌴,,Nov 23 - 28,23,11,125.0,4.92,
"Place to stay in Kecamatan Kuta Selatan, Indonesia",,,US,Gypsea Bali Bungalow with private bathroom and AC,Air conditioning,Sep 11 - 16,11,9,155.0,4.92,
"Hut in Kecamatan Ubud, Indonesia",,,US,"DAY CLOUDS, Ubud",,Jul 20 - 25,20,7,72.0,4.59,
"Cabin in Amadeo, Philippines",,,US,Cozy Loft Cabins Near Tagaytay,,Aug 7 - 13,7,8,252.0,4.88,
"Place to stay in Tabanan, Indonesia",,,US,Ocean View and Private Pool at Balian Beach,"Pool, Ocean view, Air conditioning",Jul 23 - 28,23,7,116.0,4.82,
"Cabin in Kecamatan Sukasada, Indonesia",,,US,Wanagiri Cabin,,Nov 1 - 7,1,11,148.0,4.97,
"Place to stay in Nusapenida, Indonesia",,,US,Batan Sabo Cottage,,Sep 27 - Oct 2,27,,72.0,4.72,
"Treehouse in Kecamatan Ubud, Indonesia",,,US,Bamboo Turtle cabin river view 5km to Ubud center,,Jul 9 - 14,9,7,118.0,4.88,
"Home in Kecamatan Ubud, Indonesia",,,US,PROMO! Luxury Villa Escape in Ubud 2 BR,,Sep 1 - 6,1,9,306.0,5.0,
"Apartment in Candidasa, Indonesia",,,US,Villa Sea Spray Bali Cowrie literally on the Ocean,,Aug 19 - 24,19,8,130.0,4.79,
"Home in Kecamatan Selat, Indonesia",,,US,The Nude House,,Jul 10 - 15,10,7,305.0,4.68,
"Villa in Kathu, Thailand",,,US,Tiny Poolvilla in the heart of Phuket,Pool,Jul 25 - 30,25,7,119.0,5.0,
"Treehouse in Kecamatan Ubud, Indonesia",,,US,Bamboo Turtle cabin river view 5km to Ubud center,,Jul 9 - 14,9,7,118.0,4.88,
"Home in Kecamatan Ubud, Indonesia",,,US,PROMO! Luxury Villa Escape in Ubud 2 BR,,Sep 1 - 6,1,9,306.0,5.0,
"Apartment in Kuala Lumpur, Malaysia",,,US,Instagrammable Loft Studio in EkoCheras KL,,Jul 9 - 14,9,7,60.0,4.94,
"Villa in Kecamatan Banjar, Indonesia",,,US,❤PROMO Beachfront oasis. Private pool and firepit,"Pool, Ocean front, Air conditioning",Jun 16 - 21,16,6,189.0,4.74,
"Condo in Federal Territory of Kuala Lumpur,, Malaysia",,,US,Arte Mont Kiara Muji Suites,,Jun 4 - 11,4,6,51.0,4.59,
"Villa in Tagaytay, Philippines",,,US,My Canopy Tagaytay (with thermal pool),Pool,Sep 17 - 22,17,9,424.0,4.91,
"Room in UbudUbud, Gianyar, Indonesia",,,US,Luxe Suite: Villacellabella Ubud Bali Instaworthy,Air conditioning,Jun 26 - Jul 1,26,,490.0,4.92,
"Apartment in phường 6, Vietnam",,,US,CITY APART ★ CENTRAL City-FREE Pool & Gym,Pool,Jun 1 - 6,1,6,31.0,4.64,
"Place to stay in Ubud, Indonesia",,,US,Villa Akasha - Bio-Architected Eco Dome,,Sep 19 - 24,19,9,86.0,4.65,
"Resort in Lian, Philippines",,,US,#1Beach Front Villa room Villa Blanca Beach Front,Air conditioning,Jun 4 - 9,4,6,71.0,4.58,
"Villa in Ubud, Indonesia",,,US,Luxury 1 BR Villa w/ Private Pool & Ricefield View,Pool,Oct 25 - 30,25,10,92.0,4.95,
"Apartment in Melaka, Malaysia",,,US,Yuma • Atlantis Melaka/3BR 8Pax WiFi Balcony SeaView,Wi-Fi,Jun 18 - 23,18,6,40.0,4.43,
"Villa in Tampaksiring, Indonesia",,,US,Ceylon Villas 1 - 2BR Villa! 5 mins to Ubud 🌴,,Sep 27 - Oct 2,27,,166.0,4.89,
"Home in 頭城鎮, Taiwan",,,US,"Newly furnished first row of seaview in Moon, sea view, perfect sunrise ~ long term rental welcome (also discounted)",Ocean view,Jul 9 - 14,9,7,155.0,4.92,
"Boutique hotel in Kathu District, Thailand",,,US,B Designer King Bed with Partial SEA VIEW bath,Ocean view,Jun 2 - 7,2,6,75.0,4.5,
"Hut in Selat, Indonesia",,,US,"Vaikuntha#3, The Pursuit of Perfect Rustic Beauty",,Oct 15 - 20,15,10,201.0,4.82,
"Resort in Tambon Maret, Thailand",,,US,DELUXE SEA VIEW + Hot Tub @Koh Samui,"Jacuzzi, Ocean view",Jun 2 - 7,2,6,72.0,4.63,
"Apartment in Bangkok, Thailand",,,US,Spacious Apt in City of Angels,Air conditioning,Jun 8 - 13,8,6,19.0,4.95,
"Apartment in Phuket, Thailand",,,US,"Luxury room & Sky pool, in Phuket town",Pool,Jun 8 - 13,8,6,40.0,4.81,
"Tent in Kintamani, Indonesia",,,US,Mt Batur Sunrise & overnight,,Jun 11 - 16,11,6,42.0,4.97,
"Place to stay in Nusa Penida, Indonesia",,,US,Tide 2 in Penida Tides Cottage,,Jul 29 - Aug 3,29,,32.0,4.85,
"Villa in Ubud, Indonesia",,,US,Ceylon Villas 2 - 2BR Villa! 5 mins to Ubud 🌴,,Oct 12 - 17,12,10,157.0,4.88,
"Room in Kabupaten Badung, Indonesia",,,US,Private room4 Legian/breakfast/close to Kuta beach,Air conditioning,Jun 6 - 11,6,6,81.0,4.91,
"Villa in Karangasem, Indonesia",,,US,"Luxury Ocean Front, 2,500sq ft Private Eco Villa!",Ocean front,Jun 16 - 21,16,6,450.0,4.96,
"Apartment in PHUKET, Thailand",,,US,★Studio in Seafront Private Villa w/infinity pool★,Pool,Jun 30 - Jul 5,30,,53.0,4.83,
"Condo in Na Chom Thian, Thailand",,,US,Veranda Residence pattaya 2bedroom partial seaview,,Jun 6 - 11,6,6,83.0,4.89,
"Home in Hua Hin, Thailand",,,US,Cool Home w Garden near Sea,,Jul 6 - 11,6,7,77.0,4.81,
"Loft in Pasig, Philippines",,,US,Cozy & Modern Loft w/ high speed wi-fi and Netflix,Wi-Fi,Jul 5 - 10,5,7,35.0,4.92,
"Apartment in Phuket, Thailand",,,US,Cozy Place near Shopping Center,Air conditioning,Jun 20 - 25,20,6,35.0,4.96,
"Home in Tabanan, Indonesia",,,US,Ocean View Pool Villa @ Balian Beach,"Pool, Ocean view, Air conditioning",Jun 8 - 13,8,6,170.0,4.76,
"Villa in General Luna, Philippines",,,US,Oceanfront Pool Villa,Pool,Jul 30 - Aug 5,30,,163.0,4.96,
"Condo in George Town, Malaysia",,,US,Lovely 1 Bedroom Suite with Pool View,Pool,Jun 5 - 10,5,6,26.0,4.27,
"Home in Santander, Philippines",,,US,Private Beach House. The Shack,Air conditioning,Jun 11 - 18,11,6,89.0,4.88,
"Treehouse in Bali, Indonesia",,,US,Lounge Poolside Under Lush Greenery at an Organic Bamboo Pad,Pool,Jul 3 - 8,3,7,69.0,4.71,
"Apartment in Phuket, Thailand",,,US,"Luxury room & Sky pool, in Phuket town",Pool,Jun 8 - 13,8,6,40.0,4.81,
"Place to stay in Nusa Penida, Indonesia",,,US,Tide 2 in Penida Tides Cottage,,Jul 29 - Aug 3,29,,32.0,4.85,
"Apartment in Kuala Lumpur, Malaysia",,,US,Walk to Petronas Towers from a Stylish Apartment,,Jun 5 - 10,5,6,71.0,4.89,
"Hotel room in Gili Trawangan, Indonesia",,,US,Coconut Garden Resort Gili Trawangan,,Jul 24 - 30,24,7,69.0,4.84,
"Tiny home in Kabupaten Tabanan, Indonesia",,,US,Balian Beachfront Luxury Tiny House,"Ocean front, Air conditioning",Jun 5 - 10,5,6,186.0,5.0,
"Apartment in Port Dickson, Malaysia",,,US,PD D'Wharf Premium Suite - Full Seaview (4-6 Pax),,Jun 8 - 15,8,6,54.0,4.88,
"Apartment in PHUKET, Thailand",,,US,Studio in Beachfront Private Villa w/Infinity pool,"Pool, Ocean front, Air conditioning",Jun 18 - 23,18,6,38.0,4.88,
"Room in Phuket, Thailand",,,US,Grand Seaview Pool Suite •,Pool,Jun 1 - 6,1,6,111.0,4.85,
"Home in ตำบล บ้านใต้, Thailand",,,US,"❤️THE LOFT, Romantic Beachfront Home, HIN KONG.","Ocean front, Air conditioning",Aug 18 - 23,18,8,198.0,4.96,
"Home in ตำบล บ้านใต้, Thailand",,,US,"❤️THE LOFT, Romantic Beachfront Home, HIN KONG.","Ocean front, Air conditioning",Aug 18 - 23,18,8,198.0,4.96,
"Apartment in Kecamatan Senen, Indonesia",,,US,5* Studio Resort like: Mason Place Capitol Park,Air conditioning,Jun 8 - 13,8,6,29.0,4.95,
"Home in Lembang, Indonesia",,,US,Minimax House by wiandra,,Jun 3 - 8,3,6,96.0,4.84,
"Condo in Melaka, Malaysia",,,US,B1731/Seaview/5 mine drive to Jonker/Imperio/4 pax,,Jun 13 - 19,13,6,23.0,4.54,
"Loft in George Town, Malaysia",,,US,*6Maritime Seafront Scandinavian Home‖北欧风格日出无敌海景套房,,Jun 1 - 7,1,6,153.0,4.39,
"Condo in Cebu City, Philippines",,,US,Scenic Cebu City View Condo in Ayala,,Jun 16 - 21,16,6,41.0,4.98,
"Bungalow in Naiyang Beach, Thailand",,,US,"Baan Rom Pruk private house, near Naiyang beach",Air conditioning,Jun 5 - 10,5,6,26.0,4.96,
"Condo in Quận 4, Vietnam",,,US,10' walk to Bitexco D1 45sqm Studio - Stay&Fun 01,,Jun 2 - 7,2,6,38.0,4.8,
"Villa in Abiansemal, Indonesia",,,US,Ayung Panorama. Poetic house on Ayung River cliff,,Aug 27 - Sep 1,27,,159.0,4.91,
"Room in Ko Samui District, Thailand",,,US,Villa The Spot - Room B6,,Jun 3 - 8,3,6,127.0,4.75,
"Condo in Bayan Lepas, Malaysia",,,US,Cozy Seafront Studio Suite Near Queensbay,,Jun 25 - 30,25,6,52.0,4.83,
"Hut in Kecamatan Selat, Indonesia",,,US,GLAMPING Experience with an INFINITY POOL,Pool,Jun 22 - 27,22,6,79.0,4.8,
"Condo in Tambon Na Chom Thian, Thailand",,,US,Veranda Residence pattaya 1BR partial sea view,Ocean view,Jun 5 - 10,5,6,47.0,4.8,
"Apartment in Kuala Lumpur, Malaysia",,,US,1min KLCC Twin Tower & Pavilion/Ins cottage for best memories,,Jun 25 - 30,25,6,38.0,4.91,
"Cabin in Selat, Indonesia",,,US,Nyan Bali -A Bamboo House Escape with Private Chef,,Dec 1 - 6,1,12,237.0,4.95,
"Condo in Cebu City, Philippines",,,US,5-Star Experience at the Heart of Cebu,,Aug 9 - 16,9,8,49.0,4.96,
"Bungalow in Antipolo, Philippines",,,US,Antipolo - Secluded and Romantic,,Jun 4 - 9,4,6,143.0,4.87,
"Room in San Juan, Philippines",,,US,Alon and Sandy Surf Shack GFloor (Air Conditioned),Air conditioning,Jun 10 - 16,10,6,129.0,4.62,
"Room in Botolan, Philippines",,,US,The Blue Cabin #Beach,Air conditioning,Jun 3 - 8,3,6,62.0,4.85,
"Condo in Manila, Philippines",,,US,"Amazing Manila Bay View! Spacious Comfy, Clean *31",Air conditioning,Jun 11 - 16,11,6,69.0,4.9,
"Apartment in Thalang, Thailand",,,US,Luxurious private 2bedrm seafront Phuket penthouse,,Sep 2 - 7,2,9,286.0,4.92,
"Condo in Tagaytay, Philippines",,,US,Serenity Tagaytay Home w/ WIFI & NETFLIX,Wi-Fi,Jun 11 - 16,11,6,30.0,4.79,
