property_name,property_type,amenity_text,amenities_found,amenity_count,date,start_month,start_day,end_month,end_day,price_in_dollar,review_and_rating,rating,review,location,city,country
"Apartment in Cancún, Mexico",Apartment,1208 Beach property part ocean & pool view,['Pool'],1,Jun 2 - 7,Jun,2,Jun,7,79.0,4.64 (148),4.64,148.0,"Cancún, Mexico",Cancún,Mexico
"Treehouse in Sandane , Norway",Treehouse,Amazing panoramic tree house Norway,[],0,Jun 4 - 9,Jun,4,Jun,9,285.0,4.86 (410),4.86,410.0,"Sandane , Norway",Sandane,Norway
"Home in Jurków, Poland",Home,Beachfront Cottage on the Lake,['Ocean front'],1,Jun 11 - 16,Jun,11,Jun,16,140.0,4.72 (25),4.72,25.0,"Jurków, Poland",Jurków,Poland
"Farm stay in Şarköy, Turkey",Farm stay,Off-Grid vineyard and olive orchard home.,[],0,Jun 7 - 13,Jun,7,Jun,13,144.0,5.0 (9),5.0,9.0,"Şarköy, Turkey",Şarköy,Turkey
"Cabin in Hvanneyri, Iceland",Cabin,Mirror House Iceland,[],0,Sep 1 - 6,Sep,1,Sep,6,735.0,New,,,"Hvanneyri, Iceland",Hvanneyri,Iceland
"Place to stay in Krabčice, Czechia",Place to stay,"R.I.P. by ŘÍP - 
Rest In Pod by ŘÍP",[],0,Jun 1 - 6,Jun,1,Jun,6,78.0,4.92 (36),4.92,36.0,"Krabčice, Czechia",Krabčice,Czechia
"Condo in Fiumicino, Italy",Condo,LOVE Attic,[],0,Jun 4 - 9,Jun,4,Jun,9,209.0,4.85 (178),4.85,178.0,"Fiumicino, Italy",Fiumicino,Italy
"Cabin in Güejar Sierra, Spain",Cabin,Natural show in Cabaña Alcazaba,[],0,Jun 11 - 16,Jun,11,Jun,16,111.0,4.86 (568),4.86,568.0,"Güejar Sierra, Spain",Güejar Sierra,Spain
"Cabin in Teo, Spain",Cabin,MU_Moradas no Ulla 6. Cabañas de Compostela.,[],0,Jun 11 - 16,Jun,11,Jun,16,112.0,4.96 (89),4.96,89.0,"Teo, Spain",Teo,Spain
"Place to stay in Hol, Norway",Place to stay,Unik Hobbit Cabin,[],0,Jun 1 - 6,Jun,1,Jun,6,221.0,4.84 (239),4.84,239.0,"Hol, Norway",Hol,Norway
"Farm stay in Nyköping S, Sweden",Farm stay,Simple guesthouse on a farm. Double bed and sofa bed. Free Wi-Fi and parking. WC and living room/kitchenette in separate building,"['Parking', 'Wi-Fi']",2,Jun 26 - Jul 1,Jun,26,Jul,1,73.0,4.89 (18),4.89,18.0,"Nyköping S, Sweden",Nyköping S,Sweden
"Houseboat in Jickovice, Czechia",Houseboat,"Boat in Orlik, you want it!",[],0,Jun 8 - 13,Jun,8,Jun,13,78.0,4.31 (29),4.31,29.0,"Jickovice, Czechia",Jickovice,Czechia
"Cabin in Hornedo, Spain",Cabin,Forest cabin,[],0,Sep 26 - Oct 2,Sep,26,Oct,2,80.0,4.84 (212),4.84,212.0,"Hornedo, Spain",Hornedo,Spain
"Home in Viana do Castelo, Portugal",Home,Amonde Village - Casa P * Comfort & Quality,[],0,Jun 18 - 25,Jun,18,Jun,25,168.0,4.98 (51),4.98,51.0,"Viana do Castelo, Portugal",Viana do Castelo,Portugal
"Tower in Gombola, Italy",Tower,Tower house Gombola,[],0,Jun 4 - 9,Jun,4,Jun,9,166.0,4.87 (45),4.87,45.0,"Gombola, Italy",Gombola,Italy
"Cabin in Darżkowo, Poland",Cabin,hut in the mid. of nowhere + priv pond+3 ha,[],0,Jun 1 - 6,Jun,1,Jun,6,181.0,4.79 (396),4.79,396.0,"Darżkowo, Poland",Darżkowo,Poland
"Home in Kenilworth, UK",Home,The Water Tower at Long Meadow Farm,[],0,Jun 4 - 9,Jun,4,Jun,9,246.0,4.85 (181),4.85,181.0,"Kenilworth, UK",Kenilworth,UK
"Room in Dassel, Germany",Room,Alte Wassermühle Friedrichshausen - Eulenstube,[],0,Jun 10 - 15,Jun,10,Jun,15,55.0,4.96 (25),4.96,25.0,"Dassel, Germany",Dassel,Germany
"Farm stay in Montregard, France",Farm stay,Vovady Farm : Roulotte Bohème,[],0,Jun 1 - 6,Jun,1,Jun,6,82.0,4.85 (34),4.85,34.0,"Montregard, France",Montregard,France
"Room in Saint-Ouen, France",Room,Biron aux Puces de Saint Vincent Market,[],0,Oct 29 - Nov 3,Oct,29,Nov,3,95.0,4.9 (61),4.9,61.0,"Saint-Ouen, France",Saint-Ouen,France
"Cabin in Gällstad, Sweden",Cabin,Cabin on the countryside close to the small city.,[],0,Jun 10 - 15,Jun,10,Jun,15,111.0,4.71 (51),4.71,51.0,"Gällstad, Sweden",Gällstad,Sweden
"Cabin in Trasquera, Italy",Cabin,La Barona Chalet,[],0,Jun 4 - 9,Jun,4,Jun,9,223.0,4.99 (240),4.99,240.0,"Trasquera, Italy",Trasquera,Italy
"Shepherd’s hut in Hessisch Lichtenau, Germany",Shepherd’s hut,"""Lieblingsplatz"" shepherd's hut",[],0,Jun 2 - 7,Jun,2,Jun,7,55.0,4.96 (24),4.96,24.0,"Hessisch Lichtenau, Germany",Hessisch Lichtenau,Germany
"Hut in Oxfordshire, UK",Hut,Rectory Farm Hideaway,[],0,Aug 28 - Sep 2,Aug,28,Sep,2,178.0,4.93 (535),4.93,535.0,"Oxfordshire, UK",Oxfordshire,UK
"Tiny home in Draperstown, UK",Tiny home,The Black Shack @ Bancran School,[],0,Aug 4 - 9,Aug,4,Aug,9,169.0,4.97 (304),4.97,304.0,"Draperstown, UK",Draperstown,UK
"Apartment in Calpe, Spain",Apartment,Apartment Caribe - PlusHolidays,[],0,Jun 1 - 6,Jun,1,Jun,6,80.0,3.67 (3),3.67,3.0,"Calpe, Spain",Calpe,Spain
"Shepherd’s hut in Saint-Nabord, France",Shepherd’s hut,Anty's Pond: Davy Crockett's Hut,[],0,Jun 23 - 28,Jun,23,Jun,28,93.0,4.87 (150),4.87,150.0,"Saint-Nabord, France",Saint-Nabord,France
"Apartment in Biarritz, France",Apartment,Biarritz Grande Plage 25m2 with Balcony,[],0,Jun 1 - 6,Jun,1,Jun,6,176.0,4.91 (316),4.91,316.0,"Biarritz, France",Biarritz,France
"Trullo in Ostuni, Italy",Trullo,TRULLO ISABELLA,[],0,Jun 25 - 30,Jun,25,Jun,30,158.0,4.98 (95),4.98,95.0,"Ostuni, Italy",Ostuni,Italy
"Farm stay in Girvan, UK",Farm stay,Secluded Hand crafted log cabin,[],0,Jun 5 - 10,Jun,5,Jun,10,139.0,5.0 (68),5.0,68.0,"Girvan, UK",Girvan,UK
"Cabin in Monmouth, UK",Cabin,Stargazer Cabin - Monmouth Walking Distance Town,[],0,Jul 27 - Aug 1,Jul,27,Aug,1,240.0,4.9 (287),4.9,287.0,"Monmouth, UK",Monmouth,UK
"Home in Miazzina, Italy",Home,"Baita Vrei (2)""Titta"" - Hut Lago Maggiore",[],0,Jun 4 - 9,Jun,4,Jun,9,61.0,4.84 (63),4.84,63.0,"Miazzina, Italy",Miazzina,Italy
"Tiny home in Poltimore, UK",Tiny home,Tranquil retreat with fantastic countryside views,[],0,Aug 2 - 7,Aug,2,Aug,7,115.0,4.92 (227),4.92,227.0,"Poltimore, UK",Poltimore,UK
"Villa in Pollina, Italy",Villa,Romantic and one-of-a-kind Beachouse,[],0,Oct 12 - 17,Oct,12,Oct,17,183.0,4.88 (48),4.88,48.0,"Pollina, Italy",Pollina,Italy
"Condo in Χράνοι, Greece",Condo,Ilaira Apartments,[],0,Jun 7 - 12,Jun,7,Jun,12,86.0,4.86 (38),4.86,38.0,"Χράνοι, Greece",Χράνοι,Greece
"Apartment in Rodos, Greece",Apartment,Central 1bedroom apt by the sea,[],0,Oct 10 - 15,Oct,10,Oct,15,61.0,4.76 (214),4.76,214.0,"Rodos, Greece",Rodos,Greece
"Tiny home in Midmar, UK",Tiny home,Cosy Romantic Cabin with Wood Burning Stove.,[],0,Jun 11 - 16,Jun,11,Jun,16,107.0,4.96 (274),4.96,274.0,"Midmar, UK",Midmar,UK
"Farm stay in Agello, Italy",Farm stay,Historic residence surrounded by olive trees,[],0,Jun 12 - 17,Jun,12,Jun,17,75.0,4.98 (46),4.98,46.0,"Agello, Italy",Agello,Italy
"Cabin in Adainville, France",Cabin,Wonderful Old Cabin on Rare Natural Site,[],0,Jun 11 - 16,Jun,11,Jun,16,147.0,4.93 (151),4.93,151.0,"Adainville, France",Adainville,France
"Castle in Vay, France",Castle,"Stay in the castle, with family or friends",[],0,Jun 18 - 23,Jun,18,Jun,23,92.0,4.94 (169),4.94,169.0,"Vay, France",Vay,France
"Room in Aljezur, Portugal",Room,XS Village - Arrifana Suite (private bathroom),[],0,Jun 24 - 29,Jun,24,Jun,29,100.0,4.96 (25),4.96,25.0,"Aljezur, Portugal",Aljezur,Portugal
"Barn in Rattray, UK",Barn,The Loft at the Bonnington Farm,[],0,Jun 15 - 21,Jun,15,Jun,21,135.0,4.89 (423),4.89,423.0,"Rattray, UK",Rattray,UK
"Hotel room in Muratpaşa, Turkey",Hotel room,KALEİÇİ BACCHUS OTEL DENİZ MANZARALI TATİL 501,[],0,Jun 25 - 30,Jun,25,Jun,30,83.0,4.73 (230),4.73,230.0,"Muratpaşa, Turkey",Muratpaşa,Turkey
"Earthen home in Bronwydd Arms, UK",Earthen home,strawbale roundhouse for vegetarian,[],0,Jun 29 - Jul 4,Jun,29,Jul,4,108.0,4.9 (297),4.9,297.0,"Bronwydd Arms, UK",Bronwydd Arms,UK
"Room in Behren-Lübchin, Germany",Room,Wohnung Ruth Herrenhaus Viecheln Anno 1869,[],0,Jun 11 - 16,Jun,11,Jun,16,121.0,4.97 (34),4.97,34.0,"Behren-Lübchin, Germany",Behren-Lübchin,Germany
"Tiny home in Les Haudères, Switzerland",Tiny home,Swiss Tiny Chalet,[],0,Jun 1 - 6,Jun,1,Jun,6,109.0,4.8 (157),4.8,157.0,"Les Haudères, Switzerland",Les Haudères,Switzerland
"Chalet in Étival, France",Chalet,The Napoleonic period chalet in the High Jura,[],0,Jul 16 - 21,Jul,16,Jul,21,105.0,4.98 (190),4.98,190.0,"Étival, France",Étival,France
"Home in Rémalard, France",Home,"Moulin de Boiscorde, ideal for couples and families",[],0,Jun 2 - 7,Jun,2,Jun,7,128.0,4.9 (41),4.9,41.0,"Rémalard, France",Rémalard,France
"Farm stay in Montepulciano, Italy",Farm stay,Rural Tuscany | Wine farm with pool | Terrarossa,['Pool'],1,Jun 14 - 20,Jun,14,Jun,20,148.0,4.33 (6),4.33,6.0,"Montepulciano, Italy",Montepulciano,Italy
"Trullo in Ostuni, Italy",Trullo,Magical Trullo in Ostuni Cis BR0740129000012213,[],0,Jul 19 - 24,Jul,19,Jul,24,105.0,4.87 (87),4.87,87.0,"Ostuni, Italy",Ostuni,Italy
"Cabin in Nowy Targ, Poland",Cabin,Gruszkówka 1 Cottage (7 km from Białka ),[],0,Jun 18 - 25,Jun,18,Jun,25,96.0,4.98 (86),4.98,86.0,"Nowy Targ, Poland",Nowy Targ,Poland
"Shepherd’s hut in Hollacombe, UK",Shepherd’s hut,Woodland Stargazing Cabin,[],0,Jun 2 - 7,Jun,2,Jun,7,133.0,4.83 (174),4.83,174.0,"Hollacombe, UK",Hollacombe,UK
"Room in London, UK",Room,Room available in Greater London suburb home,[],0,May 1 - 6,May,1,May,6,43.0,4.98 (94),4.98,94.0,"London, UK",London,UK
"Apartment in Megalochori, Greece",Apartment,Casa Tua,[],0,Jun 4 - 9,Jun,4,Jun,9,142.0,4.66 (68),4.66,68.0,"Megalochori, Greece",Megalochori,Greece
"Farm stay in Catsfield, UK",Farm stay,CABIN X GPF,[],0,Jun 25 - 30,Jun,25,Jun,30,225.0,4.99 (239),4.99,239.0,"Catsfield, UK",Catsfield,UK
"Room in La Zubia, Spain",Room,Alhambra Trails 2,[],0,Jun 6 - 13,Jun,6,Jun,13,94.0,4.78 (36),4.78,36.0,"La Zubia, Spain",La Zubia,Spain
"Chalet in Afa, France",Chalet,""" La cabane du Gozzi""",[],0,Jun 1 - 6,Jun,1,Jun,6,85.0,4.79 (346),4.79,346.0,"Afa, France",Afa,France
"Apartment in Ericeira, Portugal",Apartment,FLH Ericeira Ocean Flat,[],0,Jul 16 - 21,Jul,16,Jul,21,216.0,4.45 (187),4.45,187.0,"Ericeira, Portugal",Ericeira,Portugal
"Room in Rouffignac-de-Sigoulès, France",Room,manoir 19 ème siècle LE COUTUREAU isaline,[],0,Jun 1 - 6,Jun,1,Jun,6,135.0,5.0 (11),5.0,11.0,"Rouffignac-de-Sigoulès, France",Rouffignac-de-Sigoulès,France
"Guesthouse in Esche, Germany",Guesthouse,Guesthouse an der Vechte,[],0,Jul 22 - 27,Jul,22,Jul,27,50.0,4.94 (104),4.94,104.0,"Esche, Germany",Esche,Germany
"Condo in Kremasti, Greece",Condo,L & C Deluxe Apartment - luxury and comfort,[],0,Jun 6 - 11,Jun,6,Jun,11,136.0,5.0 (45),5.0,45.0,"Kremasti, Greece",Kremasti,Greece
"Room in Torreglia, Italy",Room,Country House,[],0,Jun 11 - 16,Jun,11,Jun,16,69.0,4.94 (84),4.94,84.0,"Torreglia, Italy",Torreglia,Italy
"Cave in Mesaria, Greece",Cave,Luxury Triple cave room,[],0,Jun 12 - 17,Jun,12,Jun,17,129.0,4.72 (32),4.72,32.0,"Mesaria, Greece",Mesaria,Greece
"Barn in Nutley, UK",Barn,Rural Retreat on the Ashdown Forest,[],0,Jun 12 - 17,Jun,12,Jun,17,184.0,4.96 (114),4.96,114.0,"Nutley, UK",Nutley,UK
"Castle in Winningen, Germany",Castle,Magazine - Oskar Schwebel -,[],0,Jun 11 - 16,Jun,11,Jun,16,136.0,4.66 (277),4.66,277.0,"Winningen, Germany",Winningen,Germany
"Home in Baião, Portugal",Home,CasasdoCasinhotoD-Rustic House (pool; river view),['Pool'],1,Jun 12 - 17,Jun,12,Jun,17,131.0,4.81 (43),4.81,43.0,"Baião, Portugal",Baião,Portugal
"Nature lodge in Highland Council, UK",Nature lodge,Elegant Little Wyvis Lodge - Sleeps 2,[],0,Jun 2 - 7,Jun,2,Jun,7,159.0,4.96 (95),4.96,95.0,"Highland Council, UK",Highland Council,UK
"Cabin in Totana, Spain",Cabin,Rural Aledo - El Estrecho,[],0,Jun 18 - 25,Jun,18,Jun,25,76.0,4.78 (24),4.78,24.0,"Totana, Spain",Totana,Spain
"Treehouse in Fountana, Greece",Treehouse,Nasos' Treehouse,[],0,Jun 1 - 6,Jun,1,Jun,6,98.0,4.81 (98),4.81,98.0,"Fountana, Greece",Fountana,Greece
"Cabin in Filipstad N, Sweden",Cabin,FredrikLars farm at Nordmarksberg Manor,[],0,Jun 24 - 30,Jun,24,Jun,30,44.0,4.98 (46),4.98,46.0,"Filipstad N, Sweden",Filipstad N,Sweden
"Room in Borgo Valsugana, Italy",Room,"La Tana del Lupo B&B, family and outdoor sports",[],0,Sep 18 - 23,Sep,18,Sep,23,73.0,4.99 (121),4.99,121.0,"Borgo Valsugana, Italy",Borgo Valsugana,Italy
"Cabin in Llandissilio, UK",Cabin,The Llama Lodge - a Log Cabin on a Llama Farm,[],0,Jun 4 - 9,Jun,4,Jun,9,205.0,4.92 (60),4.92,60.0,"Llandissilio, UK",Llandissilio,UK
"Camper/RV in Mayen, Germany",Camper/RV,"Quaint ""Petra Lustig"" construction car",[],0,Jun 24 - 30,Jun,24,Jun,30,48.0,,,,"Mayen, Germany",Mayen,Germany
"Vacation home in Akrotiri, Greece",Vacation home,The North Windmill ⚓ Unique House with View,[],0,Jun 9 - 14,Jun,9,Jun,14,184.0,4.98 (46),4.98,46.0,"Akrotiri, Greece",Akrotiri,Greece
"Cottage in Trefeinon, UK",Cottage,Bumble Bee Cottage,[],0,Jun 11 - 16,Jun,11,Jun,16,141.0,4.93 (410),4.93,410.0,"Trefeinon, UK",Trefeinon,UK
"Yurt in Cynwyd, UK",Yurt,Gorgeous yurt in amazing mountain/forest location,[],0,Jul 12 - 17,Jul,12,Jul,17,107.0,4.91 (339),4.91,339.0,"Cynwyd, UK",Cynwyd,UK
"Apartment in Athina, Greece",Apartment,"Diamond Home 1, romantic gem, 20 min to Acropolis",[],0,Jul 5 - 10,Jul,5,Jul,10,112.0,4.79 (217),4.79,217.0,"Athina, Greece",Athina,Greece
"Trullo in Alberobello, Italy",Trullo,TrulLetto,[],0,Jun 4 - 9,Jun,4,Jun,9,114.0,4.85 (52),4.85,52.0,"Alberobello, Italy",Alberobello,Italy
"Cabin in Båstad V, Sweden",Cabin,"Tyga Gård, probably most beautiful on Bjäre",[],0,Jun 1 - 6,Jun,1,Jun,6,94.0,4.9 (43),4.9,43.0,"Båstad V, Sweden",Båstad V,Sweden
"Home in Coreggia, Italy",Home,Silk Trulli,[],0,Jun 3 - 8,Jun,3,Jun,8,86.0,4.52 (21),4.52,21.0,"Coreggia, Italy",Coreggia,Italy
"Trullo in Martina Franca, Italy",Trullo,The Olive Tree Court,[],0,Jun 3 - 8,Jun,3,Jun,8,92.0,4.85 (143),4.85,143.0,"Martina Franca, Italy",Martina Franca,Italy
"Room in Montale Rangone, Modena, Italy",Room,LaCorte CAMERA BLU NEAR FERRARI WITH PRIVATE PARK,[],0,Aug 21 - 26,Aug,21,Aug,26,73.0,,,,"Montale Rangone, Modena, Italy","Montale Rangone, Modena",Italy
"Room in Berlin, Germany",Room,Friedrichshain Beautiful Sunny Room with Balcony,[],0,Jul 25 - 31,Jul,25,Jul,31,135.0,5.0 (6),5.0,6.0,"Berlin, Germany",Berlin,Germany
"Room in Rome, Italy",Room,Cozy en-suite double room in S. Peter's / Borgo,[],0,Nov 30 - Dec 5,Nov,30,Dec,5,60.0,4.88 (331),4.88,331.0,"Rome, Italy",Rome,Italy
"Room in Santa Lucia, Italy",Room,Star Night Room - Van Gogh Hills B&B,[],0,Jun 1 - 6,Jun,1,Jun,6,68.0,4.91 (23),4.91,23.0,"Santa Lucia, Italy",Santa Lucia,Italy
"Home in Reclesne, France",Home,La Petite Chaumière,[],0,Jun 2 - 7,Jun,2,Jun,7,85.0,4.79 (39),4.79,39.0,"Reclesne, France",Reclesne,France
"Farm stay in Asciano, Italy",Farm stay,Green - Lawns in Tuscany,[],0,Jul 8 - 13,Jul,8,Jul,13,91.0,4.97 (145),4.97,145.0,"Asciano, Italy",Asciano,Italy
"Farm stay in Pennabilli, Italy",Farm stay,Casa Cerbaia | Betulla,[],0,Jun 21 - 26,Jun,21,Jun,26,86.0,4.95 (19),4.95,19.0,"Pennabilli, Italy",Pennabilli,Italy
"Barn in Nes På Hedmark, Norway",Barn,"Sommerfjøset on Hovelsrud, Helgøya",[],0,Jul 14 - 20,Jul,14,Jul,20,328.0,4.96 (136),4.96,136.0,"Nes På Hedmark, Norway",Nes På Hedmark,Norway
"Cabin in Torsåker, Sweden",Cabin,Cozy cottage in Torsåker (Hofors),[],0,Jun 7 - 12,Jun,7,Jun,12,75.0,4.83 (254),4.83,254.0,"Torsåker, Sweden",Torsåker,Sweden
"Room in Saint-Mandé, France",Room,Nice place for your stay in Paris,[],0,Oct 30 - Nov 5,Oct,30,Nov,5,86.0,4.96 (319),4.96,319.0,"Saint-Mandé, France",Saint-Mandé,France
"Cabin in Walpole, UK",Cabin,"Peaceful, wooden garden cabin",[],0,Jul 9 - 14,Jul,9,Jul,14,93.0,4.91 (255),4.91,255.0,"Walpole, UK",Walpole,UK
"Place to stay in East Farndon, UK",Place to stay,Rural farm-Spacious triple bedroom with en suite,[],0,Jul 2 - 7,Jul,2,Jul,7,71.0,4.92 (113),4.92,113.0,"East Farndon, UK",East Farndon,UK
"Room in Rüthen, Germany",Room,Private room in the heart of nature,['Nature'],1,Jun 3 - 8,Jun,3,Jun,8,42.0,4.96 (114),4.96,114.0,"Rüthen, Germany",Rüthen,Germany
"Room in Rome, Italy",Room,Xavier House,[],0,Oct 9 - 14,Oct,9,Oct,14,43.0,4.89 (184),4.89,184.0,"Rome, Italy",Rome,Italy
"Apartment in Plaka, Greece",Apartment,"Akti Karras, Plaka Naxos (up to 2 guests)",[],0,Jun 20 - 25,Jun,20,Jun,25,55.0,4.91 (23),4.91,23.0,"Plaka, Greece",Plaka,Greece
"Condo in Saint-Lary-Soulan, France",Condo,Studio lookout,[],0,Jun 1 - 6,Jun,1,Jun,6,31.0,4.45 (240),4.45,240.0,"Saint-Lary-Soulan, France",Saint-Lary-Soulan,France
"Room in Borgo Valbelluna, Italy",Room,Bavarian room in the Dolomites,[],0,Jun 1 - 6,Jun,1,Jun,6,84.0,4.8 (5),4.8,5.0,"Borgo Valbelluna, Italy",Borgo Valbelluna,Italy
"Room in Kassel, Germany",Room,Cosy interesting loam house,[],0,Jun 5 - 12,Jun,5,Jun,12,78.0,5.0 (10),5.0,10.0,"Kassel, Germany",Kassel,Germany
"Room in Barcelona , Spain",Room,Nice room in duplex + terrace near BCN,[],0,Nov 11 - 16,Nov,11,Nov,16,55.0,4.89 (128),4.89,128.0,"Barcelona , Spain",Barcelona,Spain
"Tent in Sabóia, Portugal",Tent,Lost Paradise - A night into the Alentejo!,[],0,Jun 1 - 6,Jun,1,Jun,6,85.0,4.95 (39),4.95,39.0,"Sabóia, Portugal",Sabóia,Portugal
"Place to stay in Mont-le-Vernois, France",Place to stay,Cabin in the wild,[],0,Sep 3 - 10,Sep,3,Sep,10,95.0,4.98 (46),4.98,46.0,"Mont-le-Vernois, France",Mont-le-Vernois,France
"Shipping container in Dirlaught, Ireland",Shipping container,Amazing shipping container house + sea views+ WIFI,['Wi-Fi'],1,Aug 7 - 12,Aug,7,Aug,12,164.0,4.91 (43),4.91,43.0,"Dirlaught, Ireland",Dirlaught,Ireland
"Hut in Witzenhausen, Germany",Hut,"Countryside Sleeps, Bakery, Homestay",[],0,Jul 16 - 21,Jul,16,Jul,21,73.0,4.95 (385),4.95,385.0,"Witzenhausen, Germany",Witzenhausen,Germany
"Room in Planos, Greece",Room,Kimiro Hotel Tsilivi,[],0,Jun 5 - 10,Jun,5,Jun,10,97.0,4.91 (43),4.91,43.0,"Planos, Greece",Planos,Greece
"Apartment in Kadıköy, Turkey",Apartment,Studio apartment with AC - Suite 3,['Air conditioning'],1,Jun 17 - 22,Jun,17,Jun,22,34.0,5.0 (3),5.0,3.0,"Kadıköy, Turkey",Kadıköy,Turkey
"Cottage in Nicosia, Italy",Cottage,Sicilian Mountain Oasis - Entire Villa (Smart W.),[],0,Nov 14 - 19,Nov,14,Nov,19,100.0,4.94 (325),4.94,325.0,"Nicosia, Italy",Nicosia,Italy
"Bungalow in Izmir, Turkey",Bungalow,İzmir Bungalow. ( Urla treehouse 1),[],0,Jun 8 - 13,Jun,8,Jun,13,74.0,4.82 (223),4.82,223.0,"Izmir, Turkey",Izmir,Turkey
"Guesthouse in Perranwell Station, UK",Guesthouse,The Folly - Cornwall,[],0,Jun 18 - 23,Jun,18,Jun,23,111.0,5.0 (11),5.0,11.0,"Perranwell Station, UK",Perranwell Station,UK
"Apartment in Areti, Greece",Apartment,Echoes Exclusive Suite,[],0,Jun 29 - Jul 6,Jun,29,Jul,6,526.0,4.98 (40),4.98,40.0,"Areti, Greece",Areti,Greece
"Dome in Wapnica, Poland",Dome,Delightfull Dome with Hot tub & sauna on the beach,"['Jacuzzi', 'Sauna']",2,Jun 3 - 8,Jun,3,Jun,8,319.0,4.98 (52),4.98,52.0,"Wapnica, Poland",Wapnica,Poland
"Cabin in Millbrook, UK",Cabin,Romantic Ocean View Couples Retreat Cornwall,['Ocean view'],1,Jun 10 - 15,Jun,10,Jun,15,357.0,5.0 (61),5.0,61.0,"Millbrook, UK",Millbrook,UK
"Guest suite in La Marsa, Tunisia",Guest suite,THE AQUARIUM … waterfront 🧜🏾‍♂️,['Waterfront'],1,Jun 26 - Jul 1,Jun,26,Jul,1,61.0,4.72 (103),4.72,103.0,"La Marsa, Tunisia",La Marsa,Tunisia
"Guesthouse in Jonstorp, Sweden",Guesthouse,Gäststuga Knorrasjön,[],0,Jun 12 - 17,Jun,12,Jun,17,95.0,New,,,"Jonstorp, Sweden",Jonstorp,Sweden
"Home in Positano, Italy",Home,Villa Laurito,[],0,Oct 31 - Nov 5,Oct,31,Nov,5,185.0,4.88 (66),4.88,66.0,"Positano, Italy",Positano,Italy
"Cottage in Benalauría, Spain",Cottage,"""La Parra"", rural tourism. Your home in paradise.",[],0,Sep 16 - 21,Sep,16,Sep,21,67.0,4.99 (335),4.99,335.0,"Benalauría, Spain",Benalauría,Spain
"Tiny home in Muldenhammer, Germany",Tiny home,Hascherle Hitt,[],0,Jun 5 - 10,Jun,5,Jun,10,86.0,5.0 (57),5.0,57.0,"Muldenhammer, Germany",Muldenhammer,Germany
"Home in Audierne, France",Home,Villa Trouz Ar Mor,[],0,Jul 1 - 6,Jul,1,Jul,6,135.0,4.85 (13),4.85,13.0,"Audierne, France",Audierne,France
"Treehouse in Penzance, UK",Treehouse,Peaceful Country Treehouse Nr Penzance & St Ives,[],0,Jul 6 - 11,Jul,6,Jul,11,294.0,4.95 (292),4.95,292.0,"Penzance, UK",Penzance,UK
"Cabin in La Atalaya, Spain",Cabin,Cabaña ecológica de madera en la naturaleza,[],0,Jun 11 - 16,Jun,11,Jun,16,80.0,4.79 (14),4.79,14.0,"La Atalaya, Spain",La Atalaya,Spain
"Tiny home in Vouzela, Portugal",Tiny home,Gallas Pod House,[],0,Jun 1 - 6,Jun,1,Jun,6,57.0,5.0 (25),5.0,25.0,"Vouzela, Portugal",Vouzela,Portugal
"Apartment in Thessaloniki, Greece",Apartment,Waterfront #41Design - CozyCityCenter Flat,['Waterfront'],1,Jul 8 - 13,Jul,8,Jul,13,70.0,4.84 (546),4.84,546.0,"Thessaloniki, Greece",Thessaloniki,Greece
"Treehouse in Torbalı, Turkey",Treehouse,"Treehouse Izmir 
View all our houses please ..",[],0,Jun 11 - 16,Jun,11,Jun,16,40.0,4.9 (394),4.9,394.0,"Torbalı, Turkey",Torbalı,Turkey
"Bungalow in Fethiye, Turkey",Bungalow,Kaktus Suites Fethiye - City Bungalow 2 w/pool,['Pool'],1,Jun 17 - 22,Jun,17,Jun,22,69.0,4.87 (53),4.87,53.0,"Fethiye, Turkey",Fethiye,Turkey
"Yurt in Finestrat, Spain",Yurt,Yurt op Off-Grid Homestead,[],0,Jun 4 - 9,Jun,4,Jun,9,49.0,4.92 (38),4.92,38.0,"Finestrat, Spain",Finestrat,Spain
"Cabin in Idrac respailles , France",Cabin,Cabin into the wild,[],0,Jun 4 - 9,Jun,4,Jun,9,77.0,4.67 (282),4.67,282.0,"Idrac respailles , France",Idrac respailles,France
"Apartment in Kotor, Montenegro",Apartment,💎Boka Bay view apartment.💎,[],0,Jul 8 - 14,Jul,8,Jul,14,93.0,4.69 (218),4.69,218.0,"Kotor, Montenegro",Kotor,Montenegro
"Home in Chalkida, Greece",Home,Seaside & Garden Single family home,[],0,Jun 8 - 13,Jun,8,Jun,13,104.0,4.94 (33),4.94,33.0,"Chalkida, Greece",Chalkida,Greece
"Home in Skopelos, Greece",Home,Del Sol. Studio across the sea 1.,[],0,Jun 1 - 6,Jun,1,Jun,6,61.0,New,,,"Skopelos, Greece",Skopelos,Greece
"Place to stay in Scottish Borders, UK",Place to stay,"16th Century Scottish Borders Tower, by Earlston",[],0,Jul 13 - 18,Jul,13,Jul,18,252.0,4.96 (464),4.96,464.0,"Scottish Borders, UK",Scottish Borders,UK
"Loft in Baošići, Montenegro",Loft,Porto Bello Lux ( Sea View & Swimming Pool),"['Ocean view', 'Pool']",2,Jun 5 - 10,Jun,5,Jun,10,58.0,4.9 (110),4.9,110.0,"Baošići, Montenegro",Baošići,Montenegro
